Scopus ID,Source ID,ISSN(IA),eISSN(IA),ISBN(IA),Title,Creator,Publication Name,Cover Date,Cited by #,Type,Subtype,Article number (IA),Volume(IA),DOI(IA),Affiliation(IA)
85187424420,21101065239,,26624435,,Western Caucasus regional hydroclimate controlled by cold-season temperature variability since the Last Glacial Maximum,Wolf A.,Communications Earth and Environment,2024-12-01,0,Journal,Article,66,5,10.1038/s43247-023-01151-3,"University of California, Irvine-Irvine-United StatesxUniversity of Northumbria-Newcastle-United Kingdom"
85187412317,21101065239,,26624435,,The complexity of pluralistic ignorance in Republican climate change policy support in the United States,Dixon G.,Communications Earth and Environment,2024-12-01,0,Journal,Article,76,5,10.1038/s43247-024-01240-x,The Ohio State University-Columbus-United States
85187230747,19900191887,21904707,21904715,,The elephant in the room in greenhouse gases emissions: rethinking healthcare systems to face climate change. A rapid scoping review,Cristiano W.,Environmental Sciences Europe,2024-12-01,0,Journal,Review,24,36,10.1186/s12302-024-00839-3,Istituto Superiore Di Sanita-Rome-Italy
85187178137,21100982468,,23973722,,Evolving winter atmospheric teleconnection patterns and their potential triggers across western North America,Lee J.,npj Climate and Atmospheric Science,2024-12-01,0,Journal,Article,63,7,10.1038/s41612-024-00608-2,Gwangju Institute of Science and Technology-Gwangju-South Korea
85187172987,21100200805,,20452322,,"Into the Holocene, anatomy of the Younger Dryas cold reversal and preboreal oscillation",Velay-Vitow J.,Scientific Reports,2024-12-01,0,Journal,Article,3134,14,10.1038/s41598-024-53591-2,University of Toronto-Toronto-Canada
85187166529,21100200805,,20452322,,Exploring the relationship between land use/land cover and apparent temperature in China (1996–2020): implications for urban planning,Ding H.,Scientific Reports,2024-12-01,0,Journal,Article,3214,14,10.1038/s41598-024-53858-8,Nankai University-Tianjin-China
85187164438,21100200805,,20452322,,"Motivated reasoning about climate change and the influence of Numeracy, Need for Cognition, and the Dark Factor of Personality",Hutmacher F.,Scientific Reports,2024-12-01,0,Journal,Article,5615,14,10.1038/s41598-024-55930-9,Julius-Maximilians-Universität Würzburg-Wurzburg-Germany
85187159782,19700182758,,20411723,,Plastic pollution amplified by a warming climate,Wei X.F.,Nature Communications,2024-12-01,0,Journal,Note,2052,15,10.1038/s41467-024-46127-9,The Royal Institute of Technology (KTH)-Stockholm-Sweden
85187158684,21101065239,,26624435,,Dynamic urban land extensification is projected to lead to imbalances in the global land-carbon equilibrium,McManamay R.A.,Communications Earth and Environment,2024-12-01,0,Journal,Article,70,5,10.1038/s43247-024-01231-y,Baylor University-Waco-United States
85187156958,21100200805,,20452322,,Accelerating thermokarst lake changes on the Qinghai–Tibetan Plateau,Zhou G.,Scientific Reports,2024-12-01,0,Journal,Article,2985,14,10.1038/s41598-024-52558-7,Qinghai University-Xining-China
85187156779,19700182758,,20411723,,Process-evaluation of forest aerosol-cloud-climate feedback shows clear evidence from observations and large uncertainty in models,Blichner S.M.,Nature Communications,2024-12-01,0,Journal,Article,969,15,10.1038/s41467-024-45001-y,Stockholms universitet-Stockholm-Sweden
85186887666,21100982468,,23973722,,Site selection of desert solar farms based on heterogeneous sand flux,Li G.,npj Climate and Atmospheric Science,2024-12-01,0,Journal,Article,61,7,10.1038/s41612-024-00606-4,Northwest Institute of Eco-Environment and Resources-Lanzhou-ChinaxChinese Academy of Sciences-Beijing-China
85186883556,19621,,14712458,,Expressions of pandemic fatigue on digital platforms: a thematic analysis of sentiment and narratives for infodemic insights,White B.K.,BMC Public Health,2024-12-01,0,Journal,Article,705,24,10.1186/s12889-024-17718-4,Organisation Mondiale de la Santé-Geneva-Switzerland
85186849375,19700182758,,20411723,,Sustained growth of sulfur hexafluoride emissions in China inferred from atmospheric observations,An M.,Nature Communications,2024-12-01,0,Journal,Article,1997,15,10.1038/s41467-024-46084-3,Massachusetts Institute of Technology-Cambridge-United StatesxUniversity of Bristol-Bristol-United KingdomxPeking University-Beijing-China
85186843472,21100200805,,20452322,,High methane ebullition throughout one year in a regulated central European stream,Michaelis T.,Scientific Reports,2024-12-01,0,Journal,Article,5359,14,10.1038/s41598-024-54760-z,Technische Universität München-Munich-Germany
85186843445,19700182758,,20411723,,Vegetation enhances curvature-driven dynamics in meandering rivers,Finotello A.,Nature Communications,2024-12-01,0,Journal,Article,1968,15,10.1038/s41467-024-46292-x,Università degli Studi di Padova-Padua-Italy
85186771053,7000153262,1007662X,19930607,,"Method to measure tree-ring width, density, elemental composition, and stable carbon and oxygen isotopes using one sample",Xu C.,Journal of Forestry Research,2024-12-01,0,Journal,Article,56,35,10.1007/s11676-024-01707-9,Chinese Academy of Sciences-Beijing-ChinaxInstitute of Geology and Geophysics Chinese Academy of Sciences-Beijing-China
85186634721,21101138720,,26629984,,Fostering students’ participation in the implementation of the sustainable development goals at higher education institutions,Filho W.L.,Discover Sustainability,2024-12-01,0,Journal,Article,22,5,10.1007/s43621-024-00204-7,Hochschule für Angewandte Wissenschaften Hamburg-Hamburg-GermanyxManchester Metropolitan University-Manchester-United Kingdom
85186628848,21100401152,,20492618,,Host genotype-specific rhizosphere fungus enhances drought resistance in wheat,Yue H.,Microbiome,2024-12-01,1,Journal,Article,44,12,10.1186/s40168-024-01770-8,Northwest A&amp;F University-Yangling-China
85186628145,21100982468,,23973722,,Impact of industrial versus biomass burning aerosols on the Atlantic Meridional Overturning Circulation,Allen R.J.,npj Climate and Atmospheric Science,2024-12-01,0,Journal,Article,58,7,10.1038/s41612-024-00602-8,"University of California, Riverside-Riverside-United States"
85186627695,21101065239,,26624435,,Cooler Arctic surface temperatures simulated by climate models are closer to satellite-based data than the ERA5 reanalysis,Tian T.,Communications Earth and Environment,2024-12-01,0,Journal,Article,111,5,10.1038/s43247-024-01276-z,Danmarks Meteorologiske Institut-Copenhagen-Denmark
85186623137,21101018925,,26629992,,Climate change and food security in South Asia: the importance of renewable energy and agricultural credit,Rehman A.,Humanities and Social Sciences Communications,2024-12-01,0,Journal,Article,342,11,10.1057/s41599-024-02847-3,Henan Agricultural University-Zhengzhou-China
85186621569,21100982468,,23973722,,Assessing hydrothermal changes in the upper Yellow River Basin amidst permafrost degradation,Song L.,npj Climate and Atmospheric Science,2024-12-01,0,Journal,Article,57,7,10.1038/s41612-024-00607-3,University of Chinese Academy of Sciences-Beijing-ChinaxChinese Academy of Sciences-Beijing-ChinaxLtd.-Beijing-China
85186617883,21100200805,,20452322,,Photosynthetic responses of Larix kaempferi and Pinus densiflora seedlings are affected by summer extreme heat rather than by extreme precipitation,Kim G.J.,Scientific Reports,2024-12-01,0,Journal,Article,5250,14,10.1038/s41598-024-56120-3,Korea University-Seoul-South Korea
85186616872,21100823286,,21921709,,Changes in albedo and its radiative forcing of grasslands in East Asia drylands,Zhu Q.,Ecological Processes,2024-12-01,0,Journal,Article,17,13,10.1186/s13717-024-00493-w,Beijing Normal University-Beijing-China
85186611287,21100200805,,20452322,,Single-polyp metabolomics for coral health assessment,Iguchi A.,Scientific Reports,2024-12-01,0,Journal,Article,3369,14,10.1038/s41598-024-53294-8,Geological Survey of Japan-Tsukuba-JapanxNational Institute of Advanced Industrial Science and Technology-Tsukuba-Japan
85186610210,21100451321,,20524463,,High resolution climate change observations and projections for the evaluation of heat-related extremes,Williams E.,Scientific Data,2024-12-01,0,Journal,Data Paper,261,11,10.1038/s41597-024-03074-w,"University of California, Santa Barbara-Santa Barbara-United StatesxUC Merced-Merced-United States"
85186606440,19700182758,,20411723,,Limited impact of hydrogen co-firing on prolonging fossil-based power generation under low emissions scenarios,Oshiro K.,Nature Communications,2024-12-01,0,Journal,Article,1778,15,10.1038/s41467-024-46101-5,Kyoto University-Kyoto-Japan
85186603680,19700182758,,20411723,,Warming underpins community turnover in temperate freshwater and terrestrial communities,Khaliq I.,Nature Communications,2024-12-01,0,Journal,Article,1921,15,10.1038/s41467-024-46282-z,"Eidgenössische Forschungsanstalt für Wald, Schnee und Landschaft WSL-Birmensdorf-SwitzerlandxEawag - Swiss Federal Institute of Aquatic Science and Technology-Dubendorf-SwitzerlandxGovernment (defunct) post-graduate college-Dera Ghazi Khan-PakistanxExtremes and Natural Hazards in Alpine Regions Research Center CERC-Davos Dorf-Switzerland"
85186599358,25557,12864560,1297966X,,Inter-provenance variability and phenotypic plasticity of wood and leaf traits related to hydraulic safety and efficiency in seven European beech (Fagus sylvatica L.) provenances differing in yield,Kurjak D.,Annals of Forest Science,2024-12-01,1,Journal,Article,11,81,10.1186/s13595-024-01227-w,Technická univerzita vo Zvolene-Zvolen-Slovakia
85186593252,21100200805,,20452322,,Rising sea levels and the increase of shoreline wave energy at American Samoa,Barnes A.T.,Scientific Reports,2024-12-01,0,Journal,Article,5163,14,10.1038/s41598-024-55636-y,Scripps Institution of Oceanography-La Jolla-United States
85186573471,5800179606,,17500680,,Black carbon in urban soils: land use and climate drive variation at the surface,Burke M.,Carbon Balance and Management,2024-12-01,0,Journal,Review,9,19,10.1186/s13021-024-00255-3,The University of Utah-Salt Lake City-United StatesxUniversity of North Texas-Denton-United States
85186572564,21100794828,,21965641,,Investigating antiviral activities of iodine-conjugated organic agents against major viruses infecting pepper in Korea,Choi H.,Chemical and Biological Technologies in Agriculture,2024-12-01,0,Journal,Article,30,11,10.1186/s40538-024-00554-4,Seoul National University-Seoul-South Korea
85186572457,19621,,14712458,,A ‘Vocal Locals’ social network campaign is associated with increased frequency of conversations about mental health and improved engagement in wellbeing-promoting activities in an Australian farming community,Fletcher C.M.E.,BMC Public Health,2024-12-01,0,Journal,Article,673,24,10.1186/s12889-024-18193-7,University of South Australia-Adelaide-Australia
85186560978,5800179606,,17500680,,Quantifying the impact of key factors on the carbon mitigation potential of managed temperate forests,Gregor K.,Carbon Balance and Management,2024-12-01,0,Journal,Article,10,19,10.1186/s13021-023-00247-9,Technische Universität München-Munich-Germany
